Your Input	WormBase Gene ID	Public Name	Sequence Name	Other Name	RNAi Phenotype Observed	Allele Phenotype Observed	Concise Description	Automated Description	Reference
ZK829.3	WBGene00014094	ZK829.3	ZK829.3	CELE_ZK829.3	N.A.	N.A.	N.A.	Is predicted to have transferase activity, transferring glycosyl groups.	N.A.
T06G6.6	WBGene00011548	T06G6.6	T06G6.6	CELE_T06G6.6	N.A.	N.A.	N.A.	Is enriched in OLL\; PVD\; hypodermis\; and somatic gonad precursor based on microarray\; tiling array\; and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray and RNA-seq studies. Is affected by twelve chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and nicotinic acid based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
ZC84.6	WBGene00013849	ZC84.6	ZC84.6	CELE_ZC84.6	N.A.	N.A.	N.A.	Is predicted to have serine-type endopeptidase inhibitor activity.	WBPaper00026601|pmid15916950, WBPaper00029084|pmid17276913, WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
F13E9.4	WBGene00008753	F13E9.4	F13E9.4	CELE_F13E9.4	N.A.	N.A.	N.A.	Is enriched in germ line and in male based on RNA-seq studies. Is affected by four chemicals including procyanidin\; Sodium Chloride\; and allantoin based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Domain of unknown function DUF148 and Domain of unknown function DUF148.	N.A.
lpr-4	WBGene00012257	lpr-4	W04G3.3	CELE_W04G3.3	locomotion variant	N.A.	lpr-4 encodes one of seven C. elegans proteins related to the lipocalin family of structurally related, low molecular weight, secreted proteins that bind and transport lipophilic molecules and participate in intercellular signaling\; loss of lpr-4 via RNAi has been reported to result in defective yolk endocytosis\; lpr-4 appears to be expressed in body wall muscle.	Is expressed in body wall musculature and muscle cell. Is predicted to encode a protein with the following domain: Calycin.	WBPaper00026629|pmid15987632, WBPaper00031097|pmid17937397, WBPaper00032973|pmid19269285
mam-8	WBGene00020743	mam-8	T23H2.4	CELE_T23H2.4	N.A.	N.A.	N.A.	Is expressed in head neurons. Is predicted to encode a protein with the following domains: MAM domain, meprin\/A5\/mu\; MAM domain\; and Concanavalin A-like lectin\/glucanase domain superfamily.	N.A.
F57F5.3	WBGene00010205	F57F5.3	F57F5.3	CELE_F57F5.3	N.A.	N.A.	N.A.	Is enriched in PLM and somatic gonad precursor based on RNA-seq studies. Is affected by several genes including daf-16\; rrf-3\; and daf-12 based on microarray and RNA-seq studies. Is affected by eight chemicals including methylmercury hydroxide\; manganese chloride\; and stavudine based on RNA-seq and microarray studies.	N.A.
B0205.4	WBGene00015019	B0205.4	B0205.4	CELE_B0205.4	N.A.	N.A.	The B0205.4 gene encodes a homolog of the human gene FUT1, which when mutated leads to leukocyte adhesion deficiency, type II (OMIM:266265).	Is predicted to have galactoside 2-alpha-L-fucosyltransferase activity. Is an ortholog of human FUT1 (fucosyltransferase 1 (H blood group)) and FUT2 (fucosyltransferase 2).	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
K10D3.4	WBGene00010738	K10D3.4	K10D3.4	CELE_K10D3.4	N.A.	N.A.	N.A.	Is predicted to have serine-type endopeptidase inhibitor activity.	WBPaper00038491|pmid21647448, WBPaper00042117|pmid23040073, WBPaper00055090|pmid30120140
F52C9.5	WBGene00018675	F52C9.5	F52C9.5	CELE_F52C9.5	N.A.	N.A.	N.A.	Is enriched in amphid sheath cell and head mesodermal cell based on RNA-seq studies. Is affected by several genes including daf-16\; rrf-3\; and eat-2 based on tiling array\; microarray\; and RNA-seq studies. Is affected by eleven chemicals including stavudine\; Zidovudine\; and Sodium Chloride based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: PAN domain and PAN\/Apple domain.	N.A.
C32A9.1	WBGene00007861	C32A9.1	C32A9.1	CELE_C32A9.1	N.A.	N.A.	N.A.	Is enriched in amphid sheath cell\; muscle cell\; and neurons based on RNA-seq and microarray studies. Is affected by several genes including daf-16\; daf-2\; and eat-2 based on tiling array\; RNA-seq\; and microarray studies. Is affected by seven chemicals including Tunicamycin\; metformin\; and Psoralens based on microarray and RNA-seq studies.	N.A.
F54B11.10	WBGene00010033	F54B11.10	F54B11.10	CELE_F54B11.10	N.A.	N.A.	N.A.	Is enriched in ASER\; NSM\; PLM\; hypodermis\; and intestine based on tiling array and RNA-seq studies. Is affected by several genes including rrf-3\; pmk-1\; and sek-1 based on microarray\; tiling array\; and RNA-seq studies. Is affected by nineteen chemicals including methylmercury hydroxide\; 1-methylnicotinamide\; and manganese chloride based on RNA-seq and microarray studies.	N.A.
C27A7.8	WBGene00007758	C27A7.8	C27A7.8	CELE_C27A7.8	N.A.	N.A.	N.A.	Is enriched in BAG\; amphid sheath cell\; excretory cell\; and neurons based on tiling array and RNA-seq studies. Is affected by several genes including daf-2\; clk-1\; and eat-2 based on microarray and RNA-seq studies. Is affected by eighteen chemicals including hydrogen sulfide\; 1-methylnicotinamide\; and methylmercuric chloride based on microarray and RNA-seq studies. Is predicted to encode a protein with the following domains: Thrombospondin type 1 domain\; Thrombospondin type-1 (TSP1) repeat\; and Thrombospondin type-1 (TSP1) repeat superfamily.	N.A.
C03B1.9	WBGene00015379	C03B1.9	C03B1.9	CELE_C03B1.9	N.A.	N.A.	N.A.	Is affected by rsr-2\; aak-1\; and aak-2 based on tiling array and RNA-seq studies. Is affected by resveratrol and Atrazine based on microarray studies.	N.A.
osr-1	WBGene00016329	osr-1	C32E12.3	CELE_C32E12.3	Bacillus thuringiensis toxin hypersensitive, clear, larval lethal, locomotion variant, organism osmotic stress response variant, osmotic avoidance variant, paralyzed, pore forming toxin hypersensitive, sick, slow growth, transgene expression increased, transgene expression reduced	organism osmotic stress response variant, rhythmic tolerance to osmotic stress variant	N.A.	Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray and RNA-seq studies. Is affected by nineteen chemicals including Ethanol\; methylmercury hydroxide\; and 1-methylnicotinamide based on RNA-seq and microarray studies.	WBPaper00013472|pmid15166144, WBPaper00027061|pmid16441844, WBPaper00028383|pmid16880390, WBPaper00032037|pmid18648821, WBPaper00032102|pmid18700817, WBPaper00032390|pmid19043800, WBPaper00033448|pmid19501612, WBPaper00038329|pmid21503726, WBPaper00040109|pmid21855561, WBPaper00041375|pmid22864793, WBPaper00044584|pmid24313805, WBPaper00054735|pmid29902502, WBPaper00054939|pmid30047165
C07E3.10	WBGene00007420	C07E3.10	C07E3.10	CELE_C07E3.10	N.A.	N.A.	N.A.	Is enriched in hypodermis and somatic gonad precursor based on tiling array and RNA-seq studies. Is affected by several genes including daf-2\; rrf-3\; and dpy-10 based on RNA-seq and microarray studies. Is affected by nineteen chemicals including Heme\; methylmercury hydroxide\; and Tunicamycin based on microarray and RNA-seq studies.	N.A.
lips-17	WBGene00019939	lips-17	R07G3.2	CELE_R07G3.2	N.A.	N.A.	N.A.	Is predicted to have hydrolase activity.	WBPaper00041771|pmid23195953, WBPaper00042257|pmid23496871
nhr-38	WBGene00003629	nhr-38	K01H12.3	CELE_K01H12.3	dauer lifespan extended	N.A.	N.A.	Is predicted to have DNA-binding transcription factor activity\; sequence-specific DNA binding activity\; and zinc ion binding activity. Is expressed in AFDL and AFDR.	WBPaper00003754|pmid10545240, WBPaper00004879|pmid11580895, WBPaper00006045|pmid12819265, WBPaper00006343|pmid14711416, WBPaper00033099|pmid19402892, WBPaper00055090|pmid30120140
F59B10.2	WBGene00010318	F59B10.2	F59B10.2	CELE_F59B10.2	N.A.	N.A.	N.A.	Is enriched in AFD\; ASER\; BAG\; PLM\; and neurons based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including rrf-3\; daf-12\; and dpy-7 based on tiling array\; microarray\; and RNA-seq studies. Is affected by eight chemicals including stavudine\; Zidovudine\; and Psoralens based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domain: .	N.A.
Y65B4BM.3	WBGene00302974	Y65B4BM.3	Y65B4BM.3	CELE_Y65B4BM.3	growth variant	N.A.	N.A.	Is affected by tbx-2 based on microarray studies. Is affected by Colistin and Sirolimus based on microarray studies. Is predicted to encode a protein with the following domains: DB module and Domain of unknown function DB.	N.A.
C38C3.6	WBGene00016514	C38C3.6	C38C3.6	CELE_C38C3.6	N.A.	N.A.	N.A.	Is enriched in ASER\; head mesodermal cell\; neurons\; and ventral nerve cord based on tiling array\; RNA-seq\; and microarray studies. Is affected by several genes including mex-3\; mex-1\; and prg-1 based on microarray and RNA-seq studies. Is affected by Rifampin\; allantoin\; and Sirolimus based on RNA-seq studies.	N.A.
col-106	WBGene00000680	col-106	Y77E11A.15	CELE_Y77E11A.15	N.A.	N.A.	col-106 encodes a predicted cuticular collagen.	Is predicted to be a structural constituent of cuticle.	WBPaper00038491|pmid21647448, WBPaper00055090|pmid30120140
Y45F3A.8	WBGene00012863	Y45F3A.8	Y45F3A.8	CELE_Y45F3A.8	N.A.	N.A.	N.A.	Is enriched in intestine based on RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray and RNA-seq studies. Is affected by eleven chemicals including multi-walled carbon nanotube\; Zidovudine\; and Rifampin based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: ShK domain-like and ShKT domain.	WBPaper00038491|pmid21647448
C14F11.6	WBGene00015781	rml-3	C14F11.6	CELE_C14F11.6	N.A.	N.A.	N.A.	Is predicted to have dTDP-4-dehydrorhamnose 3,5-epimerase activity.	N.A.
spe-29	WBGene00004974	spe-29	F25H8.7	CELE_F25H8.7	N.A.	hermaphrodite sterile, spermatogenesis defective hermaphrodite	spe-29 is predicted to encode a small and novel transmembrane protein that is required for hermaphrodite spermiogensis or sperm activation but not for male-derived sperm activation (sperm activation is the morphogenesis of a round non-motile spermatid to an amoeboid crawling sperm)\; however, mutant hermaphrodite spe-29 spermatids can transactivate and form functional sperm during mating with males\; genetic and phenotypic evidence suggests that spe-29 acts in a common pathway with spe-8, spe-12, spe-19 and spe-27.	Is involved in spermatid development.	WBPaper00002459|pmid8654886, WBPaper00004444|pmid11102362, WBPaper00005276|pmid12019230, WBPaper00025244|pmid15939418, WBPaper00027081|pmid16461278, WBPaper00045487|pmid25022984, WBPaper00053784|pmid29477340
F57G12.2	WBGene00010222	F57G12.2	F57G12.2	CELE_F57G12.2	N.A.	N.A.	N.A.	Is enriched in OLL\; PLM\; and PVD based on microarray and RNA-seq studies. Is affected by several genes including daf-16\; daf-2\; and rrf-3 based on microarray and RNA-seq studies. Is affected by eleven chemicals including stavudine\; Zidovudine\; and allantoin based on RNA-seq and microarray studies.	N.A.
lin-42	WBGene00018572	lin-42	F47F6.1	CELE_F47F6.1	alae secretion variant, alae variant, breaks in alae, cell division precocious, distal tip cell migration precocious, distal tip cell migration variant, dumpy, egg laying variant, egg retention, everted vulva, exploded through vulva, fewer seam cells, lethal, level of transgene expression variant, locomotion variant, non reflexed gonad arms, pattern of transgene expression variant, precocious alae, precocious heterochronic variations, protein aggregation variant, protruding vulva, transgene expression variant, VPC cell division precocious	cell division precocious, circadian rhythm behavior variant, developmental timing variant, distal tip cell migration precocious, egg laying defective, everted vulva, gene expression level high, gene expression level reduced, HSN differentiation precocious, lethal, precocious alae, precocious seam cell fusion, sterile, VPC cell division precocious	lin-42 encodes three PAS domain-containing proteins orthologous to insect and vertebrate Period proteins that function in regulation of circadian rhythms\; during larval development, lin-42 functions in the heterochronic pathway to regulate developmental switches that occurs in multiple tissues, including the hypodermis, gonad, sex myoblasts, and vulva\; genetic analysis suggests that, in the hypodermis, lin-42 acts downstream of lin-46 and in the hypodermis and gonad, in parallel to daf-12 and upstream of lin-29\; lin-42 mRNA levels oscillate during larval development with peak levels seen during intermolts and low levels seen during ecdysis and after the L4-to-adult molt\; LIN-42 protein appears to be a widely expressed nuclear protein whose levels also fluctuate during larval stages, with peak protein typically seen towards the latter half of each larval stage in a cell type-specific manner, and then disappearing during each successive molt\; in addition to three PAS domain-containing proteins, lin-42 also encodes a protein that lacks the PAS domain\; transformation rescue experiments indicate that the LIN-42 isoform lacking the PAS domain is sufficient for rescue when present in multiple copies.	Exhibits RNA polymerase II transcription factor binding activity. Is involved in negative regulation of dauer larval development\; negative regulation of pri-miRNA transcription by RNA polymerase II\; and regulation of development, heterochronic. Localizes to cytoplasm and nucleus. Is expressed in head\; hyp7 syncytium\; and pharyngeal muscle cell. Human ortholog(s) of this gene are implicated in advanced sleep phase syndrome 1 and advanced sleep phase syndrome 3. Is an ortholog of human PER2 (period circadian regulator 2).	WBPaper00001743|pmid8510930, WBPaper00001800|pmid8224828, WBPaper00002521|pmid8756296, WBPaper00003119|pmid9649524, WBPaper00003729|pmid10550049, WBPaper00003929|pmid10706289, WBPaper00006412|pmid14738886, WBPaper00013416|pmid15073154, WBPaper00024931|pmid15691769, WBPaper00026596|pmid15781453, WBPaper00028283|pmid16300753, WBPaper00028747|pmid17065234, WBPaper00028857|pmid17139256, WBPaper00029151|pmid17336909, WBPaper00029208|pmid17381276, WBPaper00031383|pmid18185515, WBPaper00031506|pmid18262516, WBPaper00031896|pmid18495023, WBPaper00035157|pmid19713957, WBPaper00035402|pmid19859568, WBPaper00036739|pmid20678979, WBPaper00037596|pmid20843862, WBPaper00038300|pmid21471153, WBPaper00038491|pmid21647448, WBPaper00040326|pmid22011579, WBPaper00040467|pmid22137474, WBPaper00044228|pmid24058853, WBPaper00044546|pmid24301180, WBPaper00045070|pmid24699545, WBPaper00045501|pmid25032706, WBPaper00045911|pmid25319259, WBPaper00048447|pmid26294666, WBPaper00048656|pmid26435883, WBPaper00050065|pmid27574892, WBPaper00050214|pmid27729432, WBPaper00054709|pmid29880558, WBPaper00055090|pmid30120140, WBPaper00055092|pmid30144508, WBPaper00059048|pmid31910362
lpr-5	WBGene00012256	lpr-5	W04G3.2	cpg-15, CELE_W04G3.2	age associated fluorescence increased, larval arrest, larval lethal, locomotion variant, manganese hypersensitivity, organism morphology variant, pattern of transgene expression variant, receptor mediated endocytosis defective, shortened life span, transgene subcellular localization variant	N.A.	lpr-5 encodes one of seven C. elegans proteins related to the lipocalin family of structurally related, low molecular weight, secreted proteins that bind and transport lipophilic molecules and participate in intercellular signaling\; loss of lpr-5 function via RNAi results in defects in locomotion, body morphology, larval lethality, and yolk endocytosis\; lpr-5 appears to be expressed in the hypodermal seam cells.	Is expressed in several structures, including seam cell. Is predicted to encode a protein with the following domain: Calycin.	WBPaper00032973|pmid19269285, WBPaper00048611|pmid26418576, WBPaper00050227|pmid27717699
